Column,Total Count,Missing Count,Missing Percentage,Unique Values,Data Type,Top 3 Values,Mean,Median,Standard Deviation,Minimum,Maximum
Basic_Demos-Enroll_Season,3960,0,0.00%,4,object,"{'Spring': 1127, 'Winter': 997, 'Summer': 970}",,,,,
Basic_Demos-Age,3960,0,0.00%,18,int64,,10.43358585858586,10.0,3.574648078662633,5.0,22.0
Basic_Demos-Sex,3960,0,0.00%,2,int64,,0.37272727272727274,0.0,0.48359146872857844,0.0,1.0
Physical_Weight_X_PCIAT_Total,3960,1388,35.05%,2064,float64,,2753.843701399689,1964.2,2900.441392549978,0.0,26593.2
CGAS-Season,3960,1405,35.48%,4,object,"{'Spring': 697, 'Summer': 656, 'Fall': 635}",,,,,
CGAS-CGAS_Score_boxcox,3960,1539,38.86%,59,float64,,3.001791203364366,3.0110474263163205,0.099017888077384,2.493351488984098,4.109166279159654
Physical-Season,3960,650,16.41%,4,object,"{'Spring': 929, 'Winter': 804, 'Summer': 791}",,,,,
Physical-BMI,3960,938,23.69%,2658,float64,,19.331928700896096,17.937682125000002,5.113934318260661,0.0,59.13204775
Physical-Height,3960,933,23.56%,306,float64,,55.94671291707962,55.0,7.473763808847002,33.0,78.5
Physical-Weight,3960,884,22.32%,783,float64,,89.03861508452536,77.0,44.56903968933314,0.0,315.0
Physical-Waist_Circumference,3960,3062,77.32%,44,float64,,27.27850779510022,26.0,5.567286816548031,18.0,50.0
BIA_Fat_X_Physical_Weight,3960,1988,50.20%,1972,float64,,2376.364919725913,1275.0881200000001,14970.811803002527,-615653.6320000001,46084.472
Physical-Diastolic_BP,3960,1006,25.40%,102,float64,,69.64895057549086,68.0,13.61122624032274,0.0,179.0
Physical-HeartRate,3960,993,25.08%,88,float64,,81.59723626558814,81.0,13.665196369600759,27.0,138.0
Physical-Systolic_BP,3960,1006,25.40%,129,float64,,116.98307379823967,114.0,17.061224721303773,0.0,203.0
BIA_BMI_X_PCIAT_Total,3960,2147,54.22%,1594,float64,,551.8453978307226,471.7024,483.78469017786773,0.0,4103.6031
fitness_score,3960,2930,73.99%,10,float64,,6.262135922330097,6.0,2.17039522963873,2.0,11.0
BIA-BIA_Frame_num,3960,1969,49.72%,3,float64,,1.7453540934203917,2.0,0.6806346895251477,1.0,3.0
BIA-BIA_BMI,3960,1969,49.72%,1803,float64,,19.367047798442997,17.9665,5.0478481934383534,0.0482667,53.9243
PreInt_EduHx-computerinternet_hoursday,3960,659,16.64%,4,float64,,1.0605877006967586,1.0,1.0948754543617427,0.0,3.0
PCIAT-PCIAT_Total,3960,1224,30.91%,93,float64,,27.896198830409357,26.0,20.338852693135525,0.0,93.0
BIA_Fat_X_PCIAT_Total,3960,2147,54.22%,1598,float64,,597.7512012978489,368.8194,3363.516868525962,-113686.04,11268.438
Physical_Weight_X_BIA_BMI,3960,1988,50.20%,1807,float64,,1946.1174380160649,1418.2457,1598.87105555832,0.0,16155.720280000001
CGAS_Score_X_PCIAT_Total,3960,1618,40.86%,802,float64,,1811.570025619129,1710.0,1329.8345369923984,0.0,6640.0
sii,3960,1224,30.91%,4,float64,,0.5804093567251462,0.0,0.7711218214033451,0.0,3.0
