iter	RMSE
0	0.671932837
1	0.6505281523
2	0.6306304117
3	0.6113033218
4	0.5932319488
5	0.576366654
6	0.5609759456
7	0.5462473729
8	0.5317073542
9	0.5180461996
10	0.505225202
11	0.4930890758
12	0.4816124947
13	0.4708064144
14	0.4606558153
15	0.4514859073
16	0.4430578417
17	0.4346837994
18	0.4271296851
19	0.4197873854
20	0.4136591202
21	0.4072233273
22	0.4017392242
23	0.3960337804
24	0.3909112477
25	0.386175447
26	0.3812652072
27	0.3770654596
28	0.3730285537
29	0.3693470901
30	0.3659104874
31	0.3627492274
32	0.3597460154
33	0.3570616664
34	0.3546205242
35	0.352147114
36	0.3500459219
37	0.3478692572
38	0.3458111123
39	0.3438402182
40	0.3419863668
41	0.3403212149
42	0.3388157136
43	0.3374700375
44	0.3359806517
45	0.3346988698
46	0.3335013292
47	0.3324113482
48	0.3311961013
49	0.3300795117
50	0.3289653908
51	0.3280244826
52	0.3272334724
53	0.3264124
54	0.3256707833
55	0.3248608559
56	0.3241991813
57	0.323584818
58	0.3230273494
59	0.3224099788
60	0.3218872291
61	0.321186702
62	0.3205979992
63	0.3201356546
64	0.3196501306
65	0.3188850093
66	0.318336325
67	0.3178734176
68	0.3173357853
69	0.3170486016
70	0.316612351
71	0.3161311141
72	0.3158085213
73	0.3155143336
74	0.3149182108
75	0.3146392236
76	0.3143914559
77	0.3141227126
78	0.3135917099
79	0.3131832098
80	0.3130251485
81	0.3128440355
82	0.3124987543
83	0.3122444988
84	0.3119508111
85	0.3117499744
86	0.3115594597
87	0.3112685784
88	0.3109965422
89	0.3106409985
90	0.3103543927
91	0.3101010041
92	0.3098820732
93	0.309691083
94	0.3094835461
95	0.309296549
96	0.3091271197
97	0.3089739794
98	0.3087894361
99	0.3086590734
100	0.3084318257
101	0.3082234332
102	0.3081536248
103	0.3078491814
104	0.3077257766
105	0.3073540583
106	0.3072614529
107	0.3069889413
108	0.3067793315
109	0.306668001
110	0.3065165363
111	0.3064228419
112	0.3062584303
113	0.3059902955
114	0.3057792544
115	0.3056156264
116	0.305360418
117	0.3051748748
118	0.3050599119
119	0.3046687783
120	0.3045525161
121	0.30427176
122	0.3041705296
123	0.3038910479
124	0.3037864266
125	0.3037027942
126	0.3035203515
127	0.3033954157
128	0.3032894537
129	0.3031229525
130	0.3029882983
131	0.3028470564
132	0.3027217976
133	0.3025503719
134	0.3024667892
135	0.3023632303
136	0.3022891032
137	0.3021751562
138	0.3020772707
139	0.3019757139
140	0.301722658
141	0.3013942006
142	0.3012789464
143	0.3011344448
144	0.3008300694
145	0.3007237594
146	0.3004691683
147	0.3001597373
148	0.3000785898
149	0.2999658222
150	0.2998672839
151	0.2995953242
152	0.2995306644
153	0.2993266918
154	0.2992159241
155	0.2990115802
156	0.2988206121
157	0.2987214463
158	0.2986355085
159	0.2984594773
160	0.2982269372
161	0.2980540261
162	0.2977695975
163	0.2974494082
164	0.2971247235
165	0.2968391105
166	0.2966654732
167	0.2965848434
168	0.296512396
169	0.2964107731
170	0.2962438454
171	0.2960284133
172	0.2959421198
173	0.2958368464
174	0.2957745516
175	0.2957043061
176	0.2955665163
177	0.2954839453
178	0.2953429017
179	0.2951559805
180	0.2949220382
181	0.2948194328
182	0.294756218
183	0.2946638905
184	0.2945937601
185	0.2944534043
186	0.2943980008
187	0.2942211656
188	0.2941869668
189	0.2940450825
190	0.293989988
191	0.2939169149
192	0.2938243703
193	0.2937822507
194	0.2936766279
195	0.2935590118
196	0.2933655974
197	0.293274519
198	0.2932324789
199	0.2931041098
