iter	Passed	Remaining
0	191	66963
1	390	68006
2	609	70513
3	813	70329
4	1023	70625
5	1239	71082
6	1447	70904
7	1653	70675
8	1867	70761
9	2068	70338
10	2276	70170
11	2482	69925
12	2689	69712
13	2899	69597
14	3110	69478
15	3317	69244
16	3524	69043
17	3731	68833
18	3940	68656
19	4149	68461
20	4354	68221
21	4550	67847
22	4761	67699
23	4967	67472
24	5174	67264
25	5378	67024
26	5582	66785
27	5792	66610
28	5998	66400
29	6202	66160
30	6404	65909
31	6607	65657
32	6812	65444
33	7015	65207
34	7223	65011
35	7431	64815
36	7634	64585
37	7842	64389
38	8044	64151
39	8248	63928
40	8448	63673
41	8647	63416
42	8849	63183
43	9055	62977
44	9258	62753
45	9454	62480
46	9659	62271
47	9861	62042
48	10058	61787
49	10260	61563
50	10464	61350
51	10669	61143
52	10875	60944
53	11076	60714
54	11274	60474
55	11482	60285
56	11689	60089
57	11898	59901
58	12104	59701
59	12311	59503
60	12518	59307
61	12723	59103
62	12928	58895
63	13143	58734
64	13352	58546
65	13557	58339
